label,name,status,error,skill,speed,delay_ms,seed,dt,motor_curve,voltage,moving_speed,flight_s,jump,running,motion_failed,settled,peak_ground_force,peak_torque,limit_excess,camera_yaw_rms,camera_pitch_rms
source_stress,jump_v0.6_d10_s104_dt0.000625_curve0_V12.6,COMPLETE,,jump,0.6,10,104,0.000625,False,12.6,-0.023419221444086508,0.0,False,False,False,True,33.27131152549458,0.6,0.0,0.6313624016176144,1.2515959336594813
source_stress,jump_v0.6_d10_s104_dt0.00125_curve1_V11.1,COMPLETE,,jump,0.6,10,104,0.00125,True,11.1,-0.07375880752369184,0.0,False,False,True,False,50.012591285436876,0.6,0.060666332600702644,77.57423391490902,25.877449180176622
source_stress,jump_v0.6_d10_s104_dt0.00125_curve1_V9.9,COMPLETE,,jump,0.6,10,104,0.00125,True,9.9,-0.06581988148015624,0.0,False,False,True,False,65.35774032380856,0.6,0.06075575817915968,64.60547675426129,23.67039216658198
source_stress,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__feedback40,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,-0.027410037244798527,0.0,False,False,False,True,41.37643678154419,0.6,0.0,0.6794334489206304,1.3078463670027183
source_stress,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__low_friction,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,-0.021558015270978333,0.0,False,False,False,True,36.73608702320504,0.6,0.0,0.5593917193639759,1.428026759047424
source_stress,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__head_carrier_plus10pct,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,-0.020817930921195296,0.0,False,False,False,True,33.99952046541846,0.6,0.0,0.6026269337691977,1.540683449367408
source_stress,jump_v0.6_d10_s104_dt0.00125_curve0_V12.6__feedback_drop2pct,COMPLETE,,jump,0.6,10,104,0.00125,False,12.6,-0.02186629475512706,0.0,False,False,False,True,33.11549017195162,0.6,0.0,0.46839171097931337,1.4170657143769883
jump,jump_v0.6_d5_s101_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,5,101,0.00125,False,12.6,0.017634762476099065,0.085,False,False,False,False,72.87392900572193,0.6,0.015197382385243374,2.0633332233107535,3.047075555454175
jump,jump_v0.6_d5_s102_dt0.00125_curve0_V12.6,FAILED,ValueError('Calibration angular motion is excessive'),jump,0.6,5,102,0.00125,False,12.6,,,,,,,,,,,
jump,jump_v0.6_d5_s103_dt0.00125_curve0_V12.6,COMPLETE,,jump,0.6,5,103,0.00125,False,12.6,0.01845612141267734,0.08625000000000001,False,False,False,False,73.43760306246335,0.6,0.009742415013790473,2.300521060120536,2.755774449205877
